,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
0,Sacramento Kings,82,48,34,.585,3966,9898,3573,7232,49.4,1128,3060,36.9,1624,2055,79.0,782,2699,3481,2237,1106,574,275,341,1616,1711,217
1,Golden State Warriors,82,44,38,.537,3966,9753,3538,7393,47.9,1363,3540,38.5,1314,1655,79.4,864,2793,3657,2446,1336,588,324,326,1756,1510,148
2,Atlanta Hawks,82,41,41,.500,3971,9711,3658,7574,48.3,882,2505,35.2,1513,1850,81.8,920,2719,3639,2049,1060,580,401,414,1541,1612,24
3,Boston Celtics,82,57,25,.695,3996,9671,3460,7278,47.5,1315,3492,37.7,1436,1769,81.2,796,2921,3717,2186,1095,521,430,318,1542,1568,535
4,Oklahoma City Thunder,82,40,42,.488,3971,9633,3533,7590,46.5,995,2797,35.6,1572,1944,80.9,934,2646,3580,2002,1070,676,341,454,1722,1675,89
5,Los Angeles Lakers,82,43,39,.524,3976,9608,3516,7298,48.2,885,2558,34.6,1691,2182,77.5,818,2930,3748,2072,1154,526,378,416,1466,1760,47
6,Utah Jazz,82,37,45,.451,3961,9600,3485,7365,47.3,1094,3099,35.3,1536,1955,78.6,968,2794,3762,2129,1259,500,429,405,1679,1678,-77
7,Milwaukee Bucks,82,58,24,.707,3966,9589,3504,7411,47.3,1217,3306,36.8,1364,1837,74.3,914,3074,3988,2115,1199,521,403,323,1480,1557,298
8,Memphis Grizzlies,82,51,31,.622,3956,9587,3585,7551,47.5,985,2807,35.1,1432,1954,73.3,988,2835,3823,2135,1116,680,473,427,1643,1644,323
9,Indiana Pacers,82,35,47,.427,3951,9535,3444,7345,46.9,1112,3030,36.7,1535,1944,79.0,832,2575,3407,2213,1224,631,478,438,1741,1660,-261
10,New York Knicks,82,47,35,.573,3991,9514,3444,7328,47.0,1037,2930,35.4,1589,2087,76.1,1031,2790,3821,1880,1065,527,340,370,1666,1694,240
11,Denver Nuggets,82,53,29,.646,3951,9495,3574,7088,50.4,969,2559,37.9,1378,1834,75.1,828,2699,3527,2368,1192,618,368,344,1525,1601,273
12,Minnesota Timberwolves,82,42,40,.512,3966,9494,3515,7167,49.0,997,2731,36.5,1467,1942,75.5,749,2686,3435,2145,1258,657,444,336,1768,1654,-3
13,Philadelphia 76ers,82,54,28,.659,3976,9448,3347,6870,48.7,1035,2675,38.7,1719,2058,83.5,715,2641,3356,2063,1121,635,389,380,1675,1607,354
14,New Orleans Pelicans,82,42,40,.512,3971,9378,3447,7180,48.0,899,2468,36.4,1585,2000,79.3,866,2717,3583,2122,1196,681,337,386,1678,1673,155
15,Dallas Mavericks,82,38,44,.463,3986,9366,3283,6909,47.5,1246,3362,37.1,1554,2057,75.5,625,2556,3181,1880,1002,514,304,312,1697,1789,6
16,Phoenix Suns,82,45,37,.549,3956,9319,3453,7388,46.7,1001,2674,37.4,1412,1781,79.3,971,2657,3628,2235,1110,585,432,327,1739,1629,170
17,LA Clippers,82,44,38,.537,3966,9314,3370,7060,47.7,1041,2734,38.1,1533,1962,78.1,803,2742,3545,1959,1167,580,364,344,1598,1606,41
18,Portland Trail Blazers,82,33,49,.402,3946,9299,3317,7001,47.4,1056,2893,36.5,1609,2021,79.6,774,2551,3325,1981,1185,553,376,352,1643,1679,-329
19,Brooklyn Nets,82,45,37,.549,3946,9295,3399,6978,48.7,1048,2771,37.8,1449,1811,80.0,674,2648,3322,2093,1127,585,506,317,1730,1517,70
20,Washington Wizards,82,35,47,.427,3951,9279,3456,7127,48.5,925,2601,35.6,1442,1838,78.5,774,2804,3578,2083,1158,561,424,406,1539,1590,-99
21,Chicago Bulls,82,40,42,.488,3981,9276,3488,7116,49.0,854,2367,36.1,1446,1788,80.9,694,2779,3473,2006,1097,644,371,389,1551,1537,106
22,San Antonio Spurs,82,22,60,.268,3971,9269,3533,7593,46.5,911,2640,34.5,1292,1739,74.3,965,2619,3584,2232,1253,572,322,431,1630,1516,-823
23,Toronto Raptors,82,41,41,.500,3961,9254,3434,7489,45.9,880,2626,33.5,1506,1922,78.4,1043,2485,3528,1961,956,772,424,376,1641,1604,121
24,Cleveland Cavaliers,82,51,31,.622,3976,9205,3408,6984,48.8,950,2589,36.7,1439,1844,78.0,795,2574,3369,2045,1094,586,384,360,1560,1675,441
25,Orlando Magic,82,34,48,.415,3956,9136,3323,7074,47.0,883,2551,34.6,1607,2050,78.4,833,2713,3546,1906,1236,603,382,415,1652,1681,-210
26,Charlotte Hornets,82,27,55,.329,3966,9098,3385,7413,45.7,881,2669,33.0,1447,1932,74.9,901,2751,3652,2062,1164,634,425,471,1661,1667,-512
27,Houston Rockets,82,22,60,.268,3951,9081,3329,7287,45.7,856,2619,32.7,1567,2078,75.4,1100,2695,3795,1835,1332,600,374,509,1679,1692,-644
28,Detroit Pistons,82,17,65,.207,3961,9045,3244,7140,45.4,934,2659,35.1,1623,2106,77.1,916,2564,3480,1884,1237,574,308,453,1813,1718,-674
29,Miami Heat,82,44,38,.537,3961,8977,3215,6991,46.0,980,2852,34.4,1567,1885,83.1,796,2533,3329,1955,1106,655,243,309,1516,1643,-26
